ID,Plaintext Name,Horizons Name,RA (deg),DEC,RA (hours),RA (solsys),DEC (solsys),Solar System Flag
363,zeta Oph bow shock,,249.3125,-10.5,16.620833333333334,,,0.0
797,11.03.91,,249.816667,30.517778,16.654444466666668,,,0.0
639,SS 03,,249.941667,46.151667,16.6627778,,,0.0
60,2006 RH120,(2006 RH120),250.48987,-21.67466,16.699324666666666,,,1.0
770,IRAS 16406-1406,,250.86375,-14.2,16.72425,,,0.0
715,ASASSN-20lj,,251.56125,17.005,16.77075,,,0.0
336,Westerlund 1,,251.766667,-45.851389,16.784444466666667,,,0.0
254,GD 358,,251.826667,32.475833,16.788444466666665,,,0.0
496,NGC 6240,,253.245417,2.401111,16.8830278,,,0.0
201,zeta 1 Sco,,253.49875,-42.361944,16.899916666666666,,,0.0
712,V654 Her,,254.420833,35.269722,16.961388866666667,,,0.0
301,Her X-1,,254.4575,35.342222,16.963833333333334,,,0.0
684,COM 6266B,,255.302917,-30.113611,17.020194466666666,,,0.0
556,HAT-P-67,,256.610833,44.776944,17.107388866666668,,,0.0
383,SAX J1712.6-3739 nebula,,258.144167,-37.65,17.209611133333333,,,0.0
366,NGC 6302,,258.434583,-37.103056,17.228972199999998,,,0.0
112,GJ 1214,,258.82875,4.963889,17.25525,,,0.0
525,Voyager 1,Voyager 1 (-31),259.21818,12.11948,17.281212,,,1.0
222,PG 1716+426,,259.51625,42.570278,17.301083333333334,,,0.0
325,PSR J1719-1438,,259.792083,-14.633611,17.3194722,,,0.0
816,VLA J172059.9+385226.6,,260.249583,38.873889,17.3499722,,,0.0
354,Barnard 68,,260.659167,-23.826111,17.3772778,,,0.0
18,163693 Atira,163693 Atira (2003 CP20),261.24782,21.18132,17.416521333333332,,,1.0
188,beta Ara,,261.325,-55.53,17.421666666666667,,,0.0
698,VVV-WIT-07,,261.6225,-35.682222,17.4415,,,0.0
171,BD +17 3248,,262.060417,17.51,17.470694466666664,,,0.0
298,GX 1+4,,263.009167,-24.745556,17.533944466666664,,,0.0
296,4U 1730-335,,263.3525,-33.388889,17.556833333333334,,,0.0
588,XTE J1739-285,,264.975,-28.496389,17.665000000000003,,,0.0
666,PSR J1740-5340,,265.185833,-53.678056,17.679055533333333,,,0.0
317,XX Oph,,265.985417,-6.269167,17.73236113333333,,,0.0
748,GCRT J1745-3009,,266.270833,-30.165,17.751388866666666,,,0.0
739,HESS J1745-303,,266.297083,-30.198889,17.753138866666667,,,0.0
604,IRS 13E,,266.415417,-29.008333,17.7610278,,,0.0
667,S0-2,,266.416667,-29.007778,17.761111133333333,,,0.0
669,G2,,266.416667,-29.007778,17.761111133333333,,,0.0
471,Sgr A*,,266.416667,-29.007778,17.761111133333333,,,0.0
574,S4711,,266.416667,-29.007778,17.761111133333333,,,0.0
343,Central cluster,,266.416667,-29.007778,17.761111133333333,,,0.0
668,IRS 16C,,266.417083,-29.007778,17.761138866666666,,,0.0
200,WR 102,,266.447917,-26.174167,17.76319446666667,,,0.0
735,Galactic center radio arc,,266.570417,-28.814444,17.771361133333336,,,0.0
164,mu Her,,266.614583,27.720556,17.774305533333333,,,0.0
173,HD 161817,,266.669167,25.749167,17.777944466666668,,,0.0
618,Sgr B2(N) AN01,,266.832917,-28.371667,17.788861133333334,,,0.0
617,Sgr B2,,266.835,-28.385278,17.788999999999998,,,0.0
594,PSR J1748-2446ad,,267.020417,-24.767778,17.801361133333334,,,0.0
283,RS Oph,,267.555,-6.707778,17.837,,,0.0
504,NGC 6482,,267.953333,23.071944,17.863555533333333,,,0.0
732,PMN J1751-2524,,267.96375,-25.4,17.864250000000002,,,0.0
179,V4334 Sgr,,268.13625,-17.685556,17.87575,,,0.0
751,VVV-WIT-02,,268.25875,-24.866389,17.883916666666668,,,0.0
315,IGR J17544-2619,,268.605417,-26.331389,17.907027799999998,,,0.0
26,8 Flora,8 Flora (A847 UA),268.82948,-20.13157,17.921965333333333,,,1.0
565,HD 163269,,268.977083,-12.870278,17.931805533333332,,,0.0
87,Barnard's star,,269.452083,4.693333,17.963472200000002,,,0.0
221,OGLE BLAP-009,,269.700833,-27.281667,17.98005553333333,,,0.0
101,Moon,Moon (301),270.15099,-28.92959,18.010066,,,1.0
613,NGC 6522,,270.892083,-30.033889,18.059472200000002,,,0.0
21,2010 TK7,706765 (2010 TK7),270.90521,1.10269,18.060347333333333,,,1.0
615,NGC 6528,,271.206667,-30.055833,18.080444466666666,,,0.0
288,DQ Her,,271.87625,45.859167,18.125083333333336,,,0.0
299,SAX J1808.4-3658,,272.114583,-36.978889,18.1409722,,,0.0
23,4660 Nereus,4660 Nereus (1982 DB),272.11909,-24.50816,18.14127266666667,,,1.0
267,SGR 1806-20,,272.16375,-20.411111,18.14425,,,0.0
614,ESO 280-SC06,,272.275,-46.423333,18.151666666666664,,,0.0
268,XTE J1810-197,,272.462917,-19.731111,18.164194466666668,,,0.0
752,OTS 1809+31,,272.75,31.4,18.183333333333334,,,0.0
